9.9211470131 1.2533323356 5
9.6858316113 2.4868988716 5
9.2977648589 3.6812455268 5
8.7630668004 4.817536741 5
8.0901699437 5.8778525229 5
7.2896862742 6.8454710593 5
6.3742398975 7.7051324278 5
5.3582679498 8.443279255 5
4.2577929157 9.0482705247 5
3.0901699437 9.510565163 5
1.8738131459 9.8228725073 5
0.6279051953 9.9802672843 5
-0.6279051953 9.9802672843 5
-1.8738131459 9.8228725073 5
-3.0901699437 9.510565163 5
-4.2577929157 9.0482705247 5
-5.3582679498 8.443279255 5
-6.3742398975 7.7051324278 5
-7.2896862742 6.8454710593 5
-8.0901699437 5.8778525229 5
-8.7630668004 4.817536741 5
-9.2977648589 3.6812455268 5
-9.6858316113 2.4868988716 5
-9.9211470131 1.2533323356 5
-10 0 5
-9.9211470131 -1.2533323356 5
-9.6858316113 -2.4868988716 5
-9.2977648589 -3.6812455268 5
-8.7630668004 -4.817536741 5
-8.0901699437 -5.8778525229 5
-7.2896862742 -6.8454710593 5
-6.3742398975 -7.7051324278 5
-5.3582679498 -8.443279255 5
-4.2577929157 -9.0482705247 5
-3.0901699437 -9.510565163 5
-1.8738131459 -9.8228725073 5
-0.6279051953 -9.9802672843 5
0.6279051953 -9.9802672843 5
1.8738131459 -9.8228725073 5
3.0901699437 -9.510565163 5
4.2577929157 -9.0482705247 5
5.3582679498 -8.443279255 5
6.3742398975 -7.7051324278 5
7.2896862742 -6.8454710593 5
8.0901699437 -5.8778525229 5
8.7630668004 -4.817536741 5
9.2977648589 -3.6812455268 5
9.6858316113 -2.4868988716 5
9.9211470131 -1.2533323356 5
10 0 5
20 20 1500
